Date,GOL,APLE,PLTR,KO,VZ,AMC
2020-09-30 00:00:00-04:00,6.099999904632568,8.67902946472168,9.5,45.069522857666016,49.73552322387695,47.099998474121094
2020-10-01 00:00:00-04:00,6.369999885559082,9.17574691772461,9.460000038146973,44.89607238769531,49.702091217041016,46.5
2020-10-02 00:00:00-04:00,6.210000038146973,9.347342491149902,9.199999809265137,45.06039810180664,49.52652359008789,46.5
2020-10-05 00:00:00-04:00,6.369999885559082,9.419590950012207,9.029999732971191,45.078651428222656,49.87765121459961,41.29999923706055
2020-10-06 00:00:00-04:00,6.789999961853027,9.41055965423584,9.899999618530273,44.67698287963867,49.7104377746582,40.599998474121094
2020-10-07 00:00:00-04:00,6.519999980926514,9.726651191711426,10.0,45.24297332763672,49.835853576660156,40.400001525878906
2020-10-08 00:00:00-04:00,6.679999828338623,9.91630744934082,10.0,46.06458282470703,50.011592864990234,41.400001525878906
2020-10-09 00:00:00-04:00,7.0,9.744712829589844,9.949999809265137,46.384090423583984,50.129886627197266,40.5
2020-10-12 00:00:00-04:00,7.119999885559082,9.789872169494629,9.890000343322754,46.63969802856445,50.31576919555664,40.79999923706055
2020-10-13 00:00:00-04:00,6.900000095367432,9.229934692382812,9.470000267028809,45.845481872558594,50.155235290527344,35.400001525878906
2020-10-14 00:00:00-04:00,7.039999961853027,9.202841758728027,9.34000015258789,45.75419998168945,49.369441986083984,29.600000381469727
2020-10-15 00:00:00-04:00,7.010000228881836,9.24799633026123,9.90999984741211,45.63551712036133,49.14131164550781,27.799999237060547
2020-10-16 00:00:00-04:00,6.789999961853027,9.094466209411621,9.710000038146973,45.672027587890625,49.048377990722656,30.399999618530273
2020-10-19 00:00:00-04:00,7.170000076293945,8.96802806854248,9.569999694824219,45.29774475097656,48.414669036865234,35.400001525878906
2020-10-20 00:00:00-04:00,7.039999961853027,9.23896312713623,9.270000457763672,45.87286376953125,48.3724250793457,30.899999618530273
2020-10-21 00:00:00-04:00,6.920000076293945,9.392495155334473,9.199999809265137,45.63551712036133,47.9499626159668,30.0
2020-10-22 00:00:00-04:00,7.070000171661377,9.753746032714844,9.680000305175781,46.26541519165039,48.44002151489258,31.200000762939453
2020-10-23 00:00:00-04:00,7.059999942779541,9.825997352600098,9.489999771118164,46.119346618652344,48.972328186035156,29.700000762939453
2020-10-26 00:00:00-04:00,6.75,9.437651634216309,9.949999809265137,45.46207046508789,48.8455810546875,27.5
2020-10-27 00:00:00-04:00,6.53000020980835,9.004152297973633,10.949999809265137,45.55336380004883,48.48227310180664,27.899999618530273
2020-10-28 00:00:00-04:00,5.900000095367432,8.832559585571289,10.850000381469727,43.782344818115234,47.57818603515625,26.100000381469727
2020-10-29 00:00:00-04:00,5.78000020980835,9.130589485168457,10.75,43.83711624145508,47.95840835571289,25.200000762939453
2020-10-30 00:00:00-04:00,5.46999979019165,8.940934181213379,10.130000114440918,43.873634338378906,48.15274429321289,23.600000381469727
2020-11-02 00:00:00-05:00,5.440000057220459,9.202841758728027,10.539999961853027,44.384849548339844,48.752647399902344,21.5
2020-11-03 00:00:00-05:00,5.440000057220459,9.726651191711426,10.5,45.05126190185547,48.794883728027344,23.399999618530273
2020-11-04 00:00:00-05:00,5.539999961853027,9.618278503417969,10.720000267028809,44.88694381713867,48.34708023071289,23.100000381469727
2020-11-05 00:00:00-05:00,6.329999923706055,9.889214515686035,11.880000114440918,45.133426666259766,49.13286209106445,24.600000381469727
2020-11-06 00:00:00-05:00,6.5,9.717622756958008,13.829999923706055,45.142555236816406,49.453941345214844,24.899999618530273
2020-11-09 00:00:00-05:00,7.820000171661377,10.891682624816895,14.670000076293945,47.990779876708984,50.56080627441406,37.70000076293945
2020-11-10 00:00:00-05:00,7.739999771118164,11.162622451782227,14.0,49.27796173095703,51.62541580200195,35.099998474121094
2020-11-11 00:00:00-05:00,7.539999961853027,10.87362003326416,15.960000038146973,48.912811279296875,51.54092025756836,31.299999237060547
2020-11-12 00:00:00-05:00,7.010000228881836,10.367871284484863,14.579999923706055,48.3924560546875,51.36348342895508,29.399999618530273
2020-11-13 00:00:00-05:00,7.25,11.171650886535645,15.800000190734863,48.79412078857422,51.591617584228516,29.700000762939453
2020-11-16 00:00:00-05:00,7.900000095367432,11.677403450012207,15.930000305175781,49.159278869628906,51.44798278808594,31.100000381469727
2020-11-17 00:00:00-05:00,8.039999961853027,11.740621566772461,17.850000381469727,49.004093170166016,51.329689025878906,29.799999237060547
2020-11-18 00:00:00-05:00,8.220000267028809,11.623214721679688,17.899999618530273,48.02729415893555,50.966373443603516,32.599998474121094
2020-11-19 00:00:00-05:00,8.6899995803833,11.650307655334473,18.979999542236328,48.50200653076172,50.8734245300293,31.899999618530273
2020-11-20 00:00:00-05:00,8.210000038146973,11.532903671264648,18.149999618530273,48.082061767578125,50.72978591918945,33.5
2020-11-23 00:00:00-05:00,8.350000381469727,11.532903671264648,21.040000915527344,48.09120178222656,50.89031982421875,38.099998474121094
2020-11-24 00:00:00-05:00,8.75,11.894152641296387,23.81999969482422,48.584163665771484,51.23674392700195,45.79999923706055
2020-11-25 00:00:00-05:00,8.880000114440918,12.11993408203125,29.049999237060547,48.319427490234375,51.04241180419922,44.900001525878906
2020-11-27 00:00:00-05:00,8.680000305175781,12.074774742126465,27.65999984741211,48.10945510864258,51.18605041503906,44.5
2020-11-30 00:00:00-05:00,8.829999923706055,11.975434303283691,27.110000610351562,47.47462844848633,51.04241180419922,42.70000076293945
